index,ellipse_angle_deg,ellipse_angle_derivative
27217,43.67,-2.3699999999999974
27236,45.07,-2.789999999999999
27245,43.4,-1.6700000000000017
27272,40.64,-5.079999999999998
27322,44.74,-1.509999999999998
27341,44.32,-1.3500000000000014
27350,42.91,-1.4100000000000037
27361,39.54,-3.3699999999999974
27410,43.29,-4.5
27419,41.23,-2.0600000000000023
27437,41.59,-1.5999999999999943
27476,42.53,-3.460000000000001
27496,42.26,-4.800000000000004
27533,47.02,-2.019999999999996
27545,45.33,-1.6900000000000048
27572,43.23,-3.4200000000000017
27593,40.84,-3.539999999999999
27631,42.07,-2.6400000000000006
27650,40.74,-1.4199999999999946
27679,39.59,-1.3999999999999986
27716,47.46,-3.460000000000001
27725,46.34,-1.1199999999999974
27736,44.6,-1.740000000000002
27784,42.56,-1.1599999999999966
27803,42.38,-3.059999999999995
27878,45.12,-2.8500000000000014
27898,43.74,-1.0700000000000003
27937,42.51,-3.4200000000000017
27974,42.06,-1.7199999999999989
28024,44.92,-1.6899999999999977
28073,44.66,-3.1400000000000006
28091,42.52,-1.8299999999999983
28121,43.38,-3.6099999999999994
28159,44.09,-2.1899999999999977
28177,46.04,-1.8599999999999994
28187,44.93,-1.1099999999999994
28208,42.82,-2.0700000000000003
28217,41.75,-1.0700000000000003
28256,40.67,-4.719999999999999
28295,45.57,-1.8699999999999974
28316,44.24,-2.3900000000000006
28343,43.92,-4.269999999999996
28382,43.35,-2.8900000000000006
28412,41.2,-3.559999999999995
28472,47.46,-4.869999999999997
28492,45.54,-1.1199999999999974
28519,40.59,-7.319999999999993
28556,41.82,-1.2199999999999989
28613,48.12,-1.9400000000000048
28622,46.95,-1.1699999999999946
28669,45.45,-3.1199999999999974
28736,44.29,-1.4299999999999997
28765,44.72,-1.490000000000002
28784,45.71,-1.4600000000000009
28795,43.72,-1.990000000000002
28805,41.3,-2.4200000000000017
28844,45.42,-1.75
28871,44.93,-2.1799999999999997
28883,42.6,-2.3299999999999983
28901,41.18,-6.640000000000001
28921,43.4,-1.1700000000000017
28940,42.97,-2.9299999999999997
29006,44.15,-1.7800000000000011
29015,42.26,-1.8900000000000006
29054,46.67,-2.1400000000000006
29087,49.13,-1.1299999999999955
29096,46.59,-2.539999999999999
29105,44.78,-1.8100000000000023
29114,43.65,-1.1300000000000026
29162,44.23,-4.940000000000005
29171,42.5,-1.7299999999999969
29210,45.46,-3.509999999999998
29239,47.84,-1.0899999999999963
29248,45.27,-2.5700000000000003
29267,45.39,-1.0799999999999983
29287,43.61,-3.030000000000001
29306,44.47,-1.25
29360,44.55,-1.3300000000000054
29407,44.78,-4.159999999999997
29426,44.71,-1.9299999999999997
29435,41.71,-3.0
29482,43.93,-1.7800000000000011
29501,39.05,-5.640000000000001
29539,46.4,-3.0500000000000043
29549,44.42,-1.9799999999999969
29567,44.18,-1.1499999999999986
29587,43.74,-1.7399999999999949
29615,44.3,-4.0
29642,42.38,-5.5
29651,41.24,-1.1400000000000006
29671,41.9,-3.1000000000000014
29708,45.6,-3.3799999999999955
29756,47.38,-3.279999999999994
29767,42.38,-5.0
29843,47.29,-1.490000000000002
29852,44.24,-3.049999999999997
29911,47.08,-1.1799999999999997
29921,46.07,-1.009999999999998
29930,43.57,-2.5
29960,44.76,-3.510000000000005
29971,43.52,-1.2399999999999949
29990,44.75,-1.5600000000000023
30008,44.41,-1.3100000000000023
30028,44.57,-1.509999999999998
30037,42.91,-1.6600000000000037
30065,46.57,-1.6599999999999966
30094,42.02,-3.0999999999999943
30143,47.27,-3.9499999999999957
30161,48.74,-1.9699999999999989
30190,45.15,-5.810000000000002
30247,49.47,-2.1799999999999997
30275,41.46,-10.469999999999999
30295,42.25,-1.7700000000000031
30325,46.62,-1.4200000000000017
30353,48.28,-3.6000000000000014
30392,50.6,-3.3900000000000006
30401,49.58,-1.0200000000000031
30422,47.96,-3.8500000000000014
30431,46.43,-1.5300000000000011
30460,44.51,-2.719999999999999
30506,47.92,-1.4799999999999969
