index,ellipse_angle_deg,ellipse_angle_derivative,motor_speed
24405,39.75,-2.6099999999999994,20.0
24414,38.04,-1.7100000000000009,20.0
24444,41.74,-3.6699999999999946,20.0
24464,39.64,-3.9399999999999977,20.0
24501,42.2,-2.229999999999997,20.0
24519,40.98,-1.6500000000000057,20.0
24567,42.8,-3.1700000000000017,20.0
24645,42.92,-0.01999999999999602,20.0
24705,40.69,-0.8500000000000014,20.0
24743,43.26,-1.5100000000000051,20.0
24762,42.54,-2.6700000000000017,20.0
24771,40.74,-1.7999999999999972,20.0
24781,39.05,-1.6900000000000048,20.0
24819,42.87,-0.5200000000000031,20.0
24869,42.27,-0.9799999999999969,20.0
24897,41.89,-0.8900000000000006,20.0
24915,39.57,-3.3699999999999974,20.0
24935,38.6,-2.1199999999999974,20.0
24981,41.88,-0.5,20.0
25020,39.45,-0.1699999999999946,20.0
25089,41.8,-0.9500000000000028,20.0
25098,39.97,-1.8299999999999983,20.0
25145,44.2,-1.4899999999999949,20.0
25164,40.74,-4.329999999999998,20.0
25182,38.3,-2.9200000000000017,20.0
25230,42.1,-0.4299999999999997,20.0
25239,38.02,-4.079999999999998,20.0
25278,41.64,-2.8500000000000014,20.0
25296,41.19,-1.230000000000004,20.0
25328,41.8,-2.270000000000003,20.0
25356,42.2,-0.7399999999999949,20.0
25422,46.21,-0.17999999999999972,20.0
25442,44.94,-2.719999999999999,20.0
25451,42.24,-2.6999999999999957,20.0
25461,38.3,-3.940000000000005,20.0
25481,44.34,-1.5499999999999972,20.0
25491,41.34,-3.0,20.0
25520,42.84,-2.9599999999999937,20.0
25541,41.93,-1.3299999999999983,20.0
25617,43.82,-0.7100000000000009,20.0
25655,40.73,-0.30000000000000426,20.0
25674,40.43,-3.1899999999999977,20.0
25701,41.22,-1.4200000000000017,20.0
